county,candidate,party,office,district,votes
Adams,Mitt Romney,Republican,President,,6865
Adams,Barack Obama,Democratic,President,,3976
Adams,Gary Johnson,Libertarian,President,,98
Adams,Richard Duncan,Independent,President,,55
Adams,Jill Stein,Green,President,,55
Adams,Virgil Goode,Constitution,President,,32
Adams,Stewart Alexander,Socialist,President,,8
Adams,Susan Daniels,,President,,0
Adams,Nelson Keyton,,President,,0
Adams,Jill Reed,,President,,0
Adams,Platt Robertson,,President,,0
Adams,Randall Terry,,President,,0
Adams,Mike Vargo,,President,,0
Allen,Mitt Romney,Republican,President,,29502
Allen,Barack Obama,Democratic,President,,17914
Allen,Gary Johnson,Libertarian,President,,464
Allen,Jill Stein,Green,President,,164
Allen,Richard Duncan,Independent,President,,110
Allen,Virgil Goode,Constitution,President,,60
Allen,Stewart Alexander,Socialist,President,,22
Allen,Susan Daniels,,President,,0
Allen,Nelson Keyton,,President,,0
Allen,Jill Reed,,President,,0
Allen,Platt Robertson,,President,,0
Allen,Randall Terry,,President,,0
Allen,Mike Vargo,,President,,0
Ashland,Mitt Romney,Republican,President,,15519
Ashland,Barack Obama,Democratic,President,,8281
Ashland,Gary Johnson,Libertarian,President,,221
Ashland,Jill Stein,Green,President,,115
Ashland,Virgil Goode,Constitution,President,,91
Ashland,Richard Duncan,Independent,President,,84
Ashland,Stewart Alexander,Socialist,President,,19
Ashland,Susan Daniels,,President,,0
Ashland,Nelson Keyton,,President,,0
Ashland,Jill Reed,,President,,0
Ashland,Platt Robertson,,President,,0
Ashland,Randall Terry,,President,,0
Ashland,Mike Vargo,,President,,0
Ashtabula,Barack Obama,Democratic,President,,23803
Ashtabula,Mitt Romney,Republican,President,,18298
Ashtabula,Gary Johnson,Libertarian,President,,433
Ashtabula,Jill Stein,Green,President,,224
Ashtabula,Richard Duncan,Independent,President,,176
Ashtabula,Virgil Goode,Constitution,President,,94
Ashtabula,Stewart Alexander,Socialist,President,,34
Ashtabula,Jill Reed,,President,,1
Ashtabula,Susan Daniels,,President,,0
Ashtabula,Nelson Keyton,,President,,0
Ashtabula,Platt Robertson,,President,,0
Ashtabula,Randall Terry,,President,,0
Ashtabula,Mike Vargo,,President,,0
Athens,Barack Obama,Democratic,President,,18307
Athens,Mitt Romney,Republican,President,,8543
Athens,Gary Johnson,Libertarian,President,,434
Athens,Jill Stein,Green,President,,188
Athens,Richard Duncan,Independent,President,,102
Athens,Virgil Goode,Constitution,President,,43
Athens,Stewart Alexander,Socialist,President,,21
Athens,Susan Daniels,,President,,0
Athens,Nelson Keyton,,President,,0
Athens,Jill Reed,,President,,0
Athens,Platt Robertson,,President,,0
Athens,Randall Terry,,President,,0
Athens,Mike Vargo,,President,,0
Auglaize,Mitt Romney,Republican,President,,17169
Auglaize,Barack Obama,Democratic,President,,5831
Auglaize,Gary Johnson,Libertarian,President,,209
Auglaize,Jill Stein,Green,President,,83
Auglaize,Richard Duncan,Independent,President,,66
Auglaize,Virgil Goode,Constitution,President,,38
Auglaize,Stewart Alexander,Socialist,President,,9
Auglaize,Susan Daniels,,President,,0
Auglaize,Nelson Keyton,,President,,0
Auglaize,Jill Reed,,President,,0
Auglaize,Platt Robertson,,President,,0
Auglaize,Randall Terry,,President,,0
Auglaize,Mike Vargo,,President,,0
Belmont,Mitt Romney,Republican,President,,16758
Belmont,Barack Obama,Democratic,President,,14156
Belmont,Gary Johnson,Libertarian,President,,232
Belmont,Jill Stein,Green,President,,178
Belmont,Richard Duncan,Independent,President,,165
Belmont,Virgil Goode,Constitution,President,,60
Belmont,Stewart Alexander,Socialist,President,,14
Belmont,Randall Terry,,President,,1
Belmont,Susan Daniels,,President,,0
Belmont,Nelson Keyton,,President,,0
Belmont,Jill Reed,,President,,0
Belmont,Platt Robertson,,President,,0
Belmont,Mike Vargo,,President,,0
Brown,Mitt Romney,Republican,President,,11916
Brown,Barack Obama,Democratic,President,,7107
Brown,Gary Johnson,Libertarian,President,,191
Brown,Jill Stein,Green,President,,68
Brown,Richard Duncan,Independent,President,,67
Brown,Virgil Goode,Constitution,President,,29
Brown,Stewart Alexander,Socialist,President,,14
Brown,Susan Daniels,,President,,0
Brown,Nelson Keyton,,President,,0
Brown,Jill Reed,,President,,0
Brown,Platt Robertson,,President,,0
Brown,Randall Terry,,President,,0
Brown,Mike Vargo,,President,,0
Butler,Mitt Romney,Republican,President,,105176
Butler,Barack Obama,Democratic,President,,62388
Butler,Gary Johnson,Libertarian,President,,1654
Butler,Jill Stein,Green,President,,413
Butler,Richard Duncan,Independent,President,,281
Butler,Virgil Goode,Constitution,President,,207
Butler,Stewart Alexander,Socialist,President,,72
Butler,Susan Daniels,,President,,0
Butler,Nelson Keyton,,President,,0
Butler,Jill Reed,,President,,0
Butler,Platt Robertson,,President,,0
Butler,Randall Terry,,President,,0
Butler,Mike Vargo,,President,,0
Carroll,Mitt Romney,Republican,President,,7315
Carroll,Barack Obama,Democratic,President,,5543
Carroll,Gary Johnson,Libertarian,President,,173
Carroll,Richard Duncan,Independent,President,,83
Carroll,Jill Stein,Green,President,,71
Carroll,Virgil Goode,Constitution,President,,62
Carroll,Stewart Alexander,Socialist,President,,14
Carroll,Jill Reed,,President,,1
Carroll,Susan Daniels,,President,,0
Carroll,Nelson Keyton,,President,,0
Carroll,Platt Robertson,,President,,0
Carroll,Randall Terry,,President,,0
Carroll,Mike Vargo,,President,,0
Champaign,Mitt Romney,Republican,President,,11045
Champaign,Barack Obama,Democratic,President,,7044
Champaign,Gary Johnson,Libertarian,President,,159
Champaign,Richard Duncan,Independent,President,,69
Champaign,Jill Stein,Green,President,,66
Champaign,Virgil Goode,Constitution,President,,28
Champaign,Stewart Alexander,Socialist,President,,9
Champaign,Mike Vargo,,President,,1
Champaign,Susan Daniels,,President,,0
Champaign,Nelson Keyton,,President,,0
Champaign,Jill Reed,,President,,0
Champaign,Platt Robertson,,President,,0
Champaign,Randall Terry,,President,,0
Clark,Mitt Romney,Republican,President,,31820
Clark,Barack Obama,Democratic,President,,31297
Clark,Gary Johnson,Libertarian,President,,509
Clark,Jill Stein,Green,President,,214
Clark,Richard Duncan,Independent,President,,186
Clark,Virgil Goode,Constitution,President,,92
Clark,Stewart Alexander,Socialist,President,,29
Clark,Susan Daniels,,President,,0
Clark,Nelson Keyton,,President,,0
Clark,Jill Reed,,President,,0
Clark,Platt Robertson,,President,,0
Clark,Randall Terry,,President,,0
Clark,Mike Vargo,,President,,0
Clermont,Mitt Romney,Republican,President,,64208
Clermont,Barack Obama,Democratic,President,,30458
Clermont,Gary Johnson,Libertarian,President,,1069
Clermont,Jill Stein,Green,President,,248
Clermont,Richard Duncan,Independent,President,,153
Clermont,Virgil Goode,Constitution,President,,110
Clermont,Stewart Alexander,Socialist,President,,25
Clermont,Susan Daniels,,President,,0
Clermont,Nelson Keyton,,President,,0
Clermont,Jill Reed,,President,,0
Clermont,Platt Robertson,,President,,0
Clermont,Randall Terry,,President,,0
Clermont,Mike Vargo,,President,,0
Clinton,Mitt Romney,Republican,President,,12009
Clinton,Barack Obama,Democratic,President,,5791
Clinton,Gary Johnson,Libertarian,President,,195
Clinton,Jill Stein,Green,President,,56
Clinton,Richard Duncan,Independent,President,,45
Clinton,Virgil Goode,Constitution,President,,34
Clinton,Stewart Alexander,Socialist,President,,13
Clinton,Susan Daniels,,President,,0
Clinton,Nelson Keyton,,President,,0
Clinton,Jill Reed,,President,,0
Clinton,Platt Robertson,,President,,0
Clinton,Randall Terry,,President,,0
Clinton,Mike Vargo,,President,,0
Columbiana,Mitt Romney,Republican,President,,25251
Columbiana,Barack Obama,Democratic,President,,19821
Columbiana,Gary Johnson,Libertarian,President,,434
Columbiana,Richard Duncan,Independent,President,,216
Columbiana,Jill Stein,Green,President,,216
Columbiana,Virgil Goode,Constitution,President,,85
Columbiana,Stewart Alexander,Socialist,President,,28
Columbiana,Susan Daniels,,President,,0
Columbiana,Nelson Keyton,,President,,0
Columbiana,Jill Reed,,President,,0
Columbiana,Platt Robertson,,President,,0
Columbiana,Randall Terry,,President,,0
Columbiana,Mike Vargo,,President,,0
Coshocton,Mitt Romney,Republican,President,,8390
Coshocton,Barack Obama,Democratic,President,,6940
Coshocton,Gary Johnson,Libertarian,President,,157
Coshocton,Jill Stein,Green,President,,96
Coshocton,Richard Duncan,Independent,President,,93
Coshocton,Virgil Goode,Constitution,President,,44
Coshocton,Stewart Alexander,Socialist,President,,19
Coshocton,Susan Daniels,,President,,0
Coshocton,Nelson Keyton,,President,,0
Coshocton,Jill Reed,,President,,0
Coshocton,Platt Robertson,,President,,0
Coshocton,Randall Terry,,President,,0
Coshocton,Mike Vargo,,President,,0
Crawford,Mitt Romney,Republican,President,,11852
Crawford,Barack Obama,Democratic,President,,7507
Crawford,Gary Johnson,Libertarian,President,,186
Crawford,Jill Stein,Green,President,,108
Crawford,Richard Duncan,Independent,President,,82
Crawford,Virgil Goode,Constitution,President,,55
Crawford,Stewart Alexander,Socialist,President,,13
Crawford,Susan Daniels,,President,,0
Crawford,Nelson Keyton,,President,,0
Crawford,Jill Reed,,President,,0
Crawford,Platt Robertson,,President,,0
Crawford,Randall Terry,,President,,0
Crawford,Mike Vargo,,President,,0
Cuyahoga,Barack Obama,Democratic,President,,447273
Cuyahoga,Mitt Romney,Republican,President,,190660
Cuyahoga,Gary Johnson,Libertarian,President,,3448
Cuyahoga,Jill Stein,Green,President,,1564
Cuyahoga,Richard Duncan,Independent,President,,621
Cuyahoga,Virgil Goode,Constitution,President,,534
Cuyahoga,Stewart Alexander,Socialist,President,,220
Cuyahoga,Jill Reed,,President,,7
Cuyahoga,Randall Terry,,President,,3
Cuyahoga,Mike Vargo,,President,,1
Cuyahoga,Susan Daniels,,President,,0
Cuyahoga,Nelson Keyton,,President,,0
Cuyahoga,Platt Robertson,,President,,0
Darke,Mitt Romney,Republican,President,,18108
Darke,Barack Obama,Democratic,President,,6826
Darke,Gary Johnson,Libertarian,President,,212
Darke,Richard Duncan,Independent,President,,97
Darke,Jill Stein,Green,President,,86
Darke,Virgil Goode,Constitution,President,,55
Darke,Stewart Alexander,Socialist,President,,17
Darke,Susan Daniels,,President,,0
Darke,Nelson Keyton,,President,,0
Darke,Jill Reed,,President,,0
Darke,Platt Robertson,,President,,0
Darke,Randall Terry,,President,,0
Darke,Mike Vargo,,President,,0
Defiance,Mitt Romney,Republican,President,,10176
Defiance,Barack Obama,Democratic,President,,7732
Defiance,Gary Johnson,Libertarian,President,,187
Defiance,Richard Duncan,Independent,President,,70
Defiance,Jill Stein,Green,President,,64
Defiance,Virgil Goode,Constitution,President,,47
Defiance,Stewart Alexander,Socialist,President,,12
Defiance,Susan Daniels,,President,,0
Defiance,Nelson Keyton,,President,,0
Defiance,Jill Reed,,President,,0
Defiance,Platt Robertson,,President,,0
Defiance,Randall Terry,,President,,0
Defiance,Mike Vargo,,President,,0
Delaware,Mitt Romney,Republican,President,,60194
Delaware,Barack Obama,Democratic,President,,37292
Delaware,Gary Johnson,Libertarian,President,,851
Delaware,Jill Stein,Green,President,,205
Delaware,Richard Duncan,Independent,President,,111
Delaware,Virgil Goode,Constitution,President,,88
Delaware,Stewart Alexander,Socialist,President,,18
Delaware,Susan Daniels,,President,,0
Delaware,Nelson Keyton,,President,,0
Delaware,Jill Reed,,President,,0
Delaware,Platt Robertson,,President,,0
Delaware,Randall Terry,,President,,0
Delaware,Mike Vargo,,President,,0
Erie,Barack Obama,Democratic,President,,21793
Erie,Mitt Romney,Republican,President,,16952
Erie,Gary Johnson,Libertarian,President,,300
Erie,Jill Stein,Green,President,,158
Erie,Richard Duncan,Independent,President,,115
Erie,Virgil Goode,Constitution,President,,75
Erie,Stewart Alexander,Socialist,President,,12
Erie,Susan Daniels,,President,,0
Erie,Nelson Keyton,,President,,0
Erie,Jill Reed,,President,,0
Erie,Platt Robertson,,President,,0
Erie,Randall Terry,,President,,0
Erie,Mike Vargo,,President,,0
Fairfield,Mitt Romney,Republican,President,,41034
Fairfield,Barack Obama,Democratic,President,,29890
Fairfield,Gary Johnson,Libertarian,President,,624
Fairfield,Jill Stein,Green,President,,210
Fairfield,Richard Duncan,Independent,President,,173
Fairfield,Virgil Goode,Constitution,President,,114
Fairfield,Stewart Alexander,Socialist,President,,23
Fairfield,Susan Daniels,,President,,0
Fairfield,Nelson Keyton,,President,,0
Fairfield,Jill Reed,,President,,0
Fairfield,Platt Robertson,,President,,0
Fairfield,Randall Terry,,President,,0
Fairfield,Mike Vargo,,President,,0
Fayette,Mitt Romney,Republican,President,,6620
Fayette,Barack Obama,Democratic,President,,4249
Fayette,Gary Johnson,Libertarian,President,,87
Fayette,Richard Duncan,Independent,President,,27
Fayette,Jill Stein,Green,President,,18
Fayette,Virgil Goode,Constitution,President,,15
Fayette,Stewart Alexander,Socialist,President,,4
Fayette,Susan Daniels,,President,,0
Fayette,Nelson Keyton,,President,,0
Fayette,Jill Reed,,President,,0
Fayette,Platt Robertson,,President,,0
Fayette,Randall Terry,,President,,0
Fayette,Mike Vargo,,President,,0
Franklin,Barack Obama,Democratic,President,,346373
Franklin,Mitt Romney,Republican,President,,215997
Franklin,Gary Johnson,Libertarian,President,,5535
Franklin,Jill Stein,Green,President,,1659
Franklin,Richard Duncan,Independent,President,,697
Franklin,Virgil Goode,Constitution,President,,568
Franklin,Stewart Alexander,Socialist,President,,199
Franklin,Susan Daniels,,President,,0
Franklin,Nelson Keyton,,President,,0
Franklin,Jill Reed,,President,,0
Franklin,Platt Robertson,,President,,0
Franklin,Randall Terry,,President,,0
Franklin,Mike Vargo,,President,,0
Fulton,Mitt Romney,Republican,President,,11738
Fulton,Barack Obama,Democratic,President,,9073
Fulton,Gary Johnson,Libertarian,President,,248
Fulton,Jill Stein,Green,President,,82
Fulton,Richard Duncan,Independent,President,,61
Fulton,Virgil Goode,Constitution,President,,57
Fulton,Stewart Alexander,Socialist,President,,9
Fulton,Susan Daniels,,President,,0
Fulton,Nelson Keyton,,President,,0
Fulton,Jill Reed,,President,,0
Fulton,Platt Robertson,,President,,0
Fulton,Randall Terry,,President,,0
Fulton,Mike Vargo,,President,,0
Gallia,Mitt Romney,Republican,President,,7750
Gallia,Barack Obama,Democratic,President,,4557
Gallia,Richard Duncan,Independent,President,,82
Gallia,Gary Johnson,Libertarian,President,,79
Gallia,Jill Stein,Green,President,,69
Gallia,Virgil Goode,Constitution,President,,47
Gallia,Stewart Alexander,Socialist,President,,11
Gallia,Susan Daniels,,President,,0
Gallia,Nelson Keyton,,President,,0
Gallia,Jill Reed,,President,,0
Gallia,Platt Robertson,,President,,0
Gallia,Randall Terry,,President,,0
Gallia,Mike Vargo,,President,,0
Geauga,Mitt Romney,Republican,President,,30589
Geauga,Barack Obama,Democratic,President,,19659
Geauga,Gary Johnson,Libertarian,President,,386
Geauga,Jill Stein,Green,President,,182
Geauga,Richard Duncan,Independent,President,,100
Geauga,Virgil Goode,Constitution,President,,64
Geauga,Stewart Alexander,Socialist,President,,17
Geauga,Susan Daniels,,President,,0
Geauga,Nelson Keyton,,President,,0
Geauga,Jill Reed,,President,,0
Geauga,Platt Robertson,,President,,0
Geauga,Randall Terry,,President,,0
Geauga,Mike Vargo,,President,,0
Greene,Mitt Romney,Republican,President,,49819
Greene,Barack Obama,Democratic,President,,32256
Greene,Gary Johnson,Libertarian,President,,933
Greene,Jill Stein,Green,President,,245
Greene,Richard Duncan,Independent,President,,113
Greene,Virgil Goode,Constitution,President,,88
Greene,Stewart Alexander,Socialist,President,,35
Greene,Susan Daniels,,President,,0
Greene,Nelson Keyton,,President,,0
Greene,Jill Reed,,President,,0
Greene,Platt Robertson,,President,,0
Greene,Randall Terry,,President,,0
Greene,Mike Vargo,,President,,0
Guernsey,Mitt Romney,Republican,President,,8993
Guernsey,Barack Obama,Democratic,President,,7450
Guernsey,Gary Johnson,Libertarian,President,,174
Guernsey,Jill Stein,Green,President,,70
Guernsey,Richard Duncan,Independent,President,,64
Guernsey,Virgil Goode,Constitution,President,,47
Guernsey,Stewart Alexander,Socialist,President,,16
Guernsey,Susan Daniels,,President,,0
Guernsey,Nelson Keyton,,President,,0
Guernsey,Jill Reed,,President,,0
Guernsey,Platt Robertson,,President,,0
Guernsey,Randall Terry,,President,,0
Guernsey,Mike Vargo,,President,,0
Hamilton,Barack Obama,Democratic,President,,219927
Hamilton,Mitt Romney,Republican,President,,193326
Hamilton,Gary Johnson,Libertarian,President,,3756
Hamilton,Jill Stein,Green,President,,1012
Hamilton,Richard Duncan,Independent,President,,415
Hamilton,Virgil Goode,Constitution,President,,337
Hamilton,Stewart Alexander,Socialist,President,,121
Hamilton,Susan Daniels,,President,,0
Hamilton,Nelson Keyton,,President,,0
Hamilton,Jill Reed,,President,,0
Hamilton,Platt Robertson,,President,,0
Hamilton,Randall Terry,,President,,0
Hamilton,Mike Vargo,,President,,0
Hancock,Mitt Romney,Republican,President,,22443
Hancock,Barack Obama,Democratic,President,,12564
Hancock,Gary Johnson,Libertarian,President,,352
Hancock,Jill Stein,Green,President,,130
Hancock,Richard Duncan,Independent,President,,101
Hancock,Virgil Goode,Constitution,President,,74
Hancock,Stewart Alexander,Socialist,President,,30
Hancock,Susan Daniels,,President,,0
Hancock,Nelson Keyton,,President,,0
Hancock,Jill Reed,,President,,0
Hancock,Platt Robertson,,President,,0
Hancock,Randall Terry,,President,,0
Hancock,Mike Vargo,,President,,0
